Year,DOY,Tmax,Tmin,RH,WindSpeed_2m,SolarRad_MJ,Rainfall_mm
2026,123,31.58,24.05,82.46,1.54,19.38,8.47
2026,124,32.82,24.12,80.68,1.94,19.98,4.14
2026,125,30.81,23.32,83.04,1.36,15.75,6.38
2026,126,33.88,22.78,76.27,1.31,21.0,3.1
2026,127,32.76,23.48,76.99,1.05,18.45,12.07
2026,128,33.07,22.8,75.01,1.14,24.19,4.19
2026,129,32.63,23.67,75.37,1.01,21.3,8.21
2026,130,32.58,23.65,76.36,1.45,19.56,5.56
2026,131,31.49,23.44,79.3,1.19,20.46,4.12
2026,132,33.13,23.08,77.88,1.74,23.33,0.4
2026,133,33.46,24.05,79.17,2.61,21.47,4.75
2026,134,34.0,24.84,81.74,2.65,21.27,18.98
2026,135,34.92,24.97,81.77,2.69,23.1,9.2
