*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.6.000 -Release  SEP 21, 2026 21:32:41

*RUN   1        : Continuous Flooding (CF)  RICER048 BDAR2601    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : BDAR2601 RI BORO RICE CF VS AWD (ARONGHATA)
 DATA PATH      : C:\DSSAT48\Rice\
 TREATMENT  1   : Continuous Flooding (CF)  RICER048
  
!YR        Days  Days              Leaf  <--------- Dry Weight -----------> Grain Kernl              <------ Stress (0-1) ------>   Leaf  Shell  Spec  <-Canopy->  Root  <-- Root Length Density ---><Senesced Mat>   Phot  
!  and    after after  Leaf  Grow  Area  <------------ kg/Ha ------------->   per  wght  Harv Tillr  <--- Water ---->                Nit   -ing  Leaf  Hght Brdth Depth  <---- cm3/cm3 of soil -----> <--(kg/ha)-->  Therm  
!     DOY start plant   Num Stage Index  Leaf  Stem Grain  Root Panic  Crop    m2    mg  Indx   No.  Phot  Grow  Excs  Nitr Potas     %      %   Area    m     m     m    0-5  5-15 15-30 30-45 45-60   Surf   Soil   Days  
@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  EWAD  CWAD  G#AD  GWGD  HIAD  T#AD  WSPD  WSGD  EWSD  NSTD  KSTD   LN%D   SH%D  SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  SNW0C  SNW1C   DTTC  
 2026 036    22    21   5.0     1  0.05    45     3     0   102     0    48     0   0.0 0.000    63 0.000 0.000 0.000 0.564 0.000   2.50   0.00 102.9  0.00  0.00  0.45  1.32  0.60  0.12  0.00  0.00      4      0    231
 2026 037    23    22   5.0     1  0.05    47     3     0   102     0    50     0   0.0 0.000    63 0.000 0.000 0.000 0.599 0.000   2.40   0.00  98.1  0.00  0.00  0.47  1.31  0.61  0.12  0.00  0.00      4      0    242
 2026 038    24    23   5.0     1  0.05    49     3     0   102     0    52     0   0.0 0.000    63 0.000 0.000 0.000 0.630 0.000   2.31   0.00  93.8  0.00  0.00  0.49  1.31  0.62  0.12  0.00  0.00      5      0    252
 2026 039    25    24   6.0     1  0.05    50     3     0   102     0    53     0   0.0 0.000    63 0.000 0.000 0.000 0.655 0.000   2.24   0.00  89.8  0.00  0.00  0.51  1.30  0.62  0.12  0.00  0.00      5      0    264
 2026 040    26    25   6.0     1  0.04    52     3     0   102     0    55     0   0.0 0.000    63 0.000 0.000 0.000 0.677 0.000   2.18   0.00  86.1  0.00  0.00  0.53  1.30  0.63  0.12  0.00  0.00      6      0    276
 2026 041    27    26   6.0     1  0.04    53     3     0   102     0    56     0   0.0 0.000    64 0.000 0.000 0.000 0.697 0.000   2.13   0.00  82.7  0.00  0.00  0.55  1.29  0.63  0.12  0.00  0.00      6      0    288
 2026 042    28    27   6.0     1  0.04    55     3     0   101     0    58     0   0.0 0.000    64 0.000 0.000 0.000 0.713 0.000   2.08   0.00  79.5  0.00  0.00  0.58  1.29  0.64  0.12  0.00  0.00      7      0    301
 2026 043    29    28   6.0     1  0.04    56     3     0   101     0    59     0   0.0 0.000    64 0.000 0.000 0.000 0.727 0.000   2.04   0.00  76.4  0.00  0.00  0.60  1.29  0.64  0.12  0.00  0.00      7      0    315
 2026 044    30    29   6.0     1  0.04    57     3     0   101     0    60     0   0.0 0.000    64 0.000 0.000 0.000 0.741 0.000   2.00   0.00  73.5  0.00  0.00  0.60  1.28  0.64  0.12  0.00  0.00      8      0    329
 2026 045    31    30   6.0     1  0.04    58     3     0   101     0    61     0   0.0 0.000    64 0.000 0.000 0.000 0.753 0.000   2.06   0.00  70.8  0.00  0.00  0.60  1.28  0.65  0.11  0.00  0.00      8      0    343
 2026 046    32    31   7.0     1  0.04    59     3     0   100     0    62     0   0.0 0.000    64 0.000 0.000 0.000 0.731 0.000   2.13   0.00  68.1  0.00  0.00  0.60  1.27  0.65  0.11  0.00  0.00      9      0    357
 2026 047    33    32   7.0     1  0.04    61     3     0   100     0    64     0   0.0 0.000    64 0.000 0.000 0.000 0.711 0.000   2.08   0.00  65.5  0.00  0.00  0.60  1.27  0.65  0.11  0.00  0.00     10      0    371
 2026 048    34    33   7.0     1  0.04    62     3     0   100     0    65     0   0.0 0.000    64 0.000 0.000 0.000 0.724 0.000   2.12   0.00  63.0  0.00  0.00  0.60  1.26  0.66  0.11  0.00  0.00     10      0    385
 2026 049    35    34   7.0     1  0.04    63     3     0   100     0    66     0   0.0 0.000    64 0.000 0.000 0.000 0.711 0.000   2.19   0.00  60.7  0.00  0.00  0.60  1.26  0.66  0.11  0.00  0.00     11      0    400
 2026 050    36    35   7.0     1  0.04    64     3     0    99     0    67     0   0.0 0.000    64 0.000 0.000 0.000 0.690 0.000   2.26   0.00  58.4  0.00  0.00  0.60  1.26  0.66  0.11  0.00  0.00     12      0    415
 2026 051    37    36   8.0     1  0.04    66     3     0    99     0    69     0   0.0 0.000    64 0.000 0.000 0.000 0.668 0.000   2.21   0.00  56.3  0.00  0.00  0.60  1.25  0.66  0.11  0.00  0.00     13      0    431
 2026 052    38    37   8.0     1  0.04    67     3     0    99     0    70     0   0.0 0.000    64 0.000 0.000 0.000 0.660 0.000   2.26   0.00  54.2  0.00  0.00  0.60  1.25  0.67  0.11  0.00  0.00     13      0    447
 2026 053    39    38   8.0     1  0.04    68     3     0    99     0    71     0   0.0 0.000    64 0.000 0.000 0.000 0.636 0.000   2.34   0.00  52.4  0.00  0.00  0.60  1.25  0.67  0.11  0.00  0.00     14      0    463
 2026 054    40    39   8.0     1  0.04    69     3     0    99     0    72     0   0.0 0.000    65 0.000 0.000 0.000 0.596 0.000   2.42   0.00  50.6  0.00  0.00  0.60  1.24  0.67  0.11  0.00  0.00     15      0    480
 2026 055    41    40   8.0     1  0.04    71     3     0    98     0    74     0   0.0 0.000    65 0.000 0.000 0.000 0.555 0.000   2.38   0.00  51.2  0.00  0.00  0.60  1.24  0.67  0.11  0.00  0.00     16      0    497
 2026 056    42    41   9.0     1  0.04    72     3     0    98     0    75     0   0.0 0.000    66 0.000 0.000 0.000 0.551 0.000   2.43   0.00  49.6  0.00  0.00  0.60  1.24  0.67  0.11  0.00  0.00     17      0    513
 2026 057    43    42   9.0     1  0.04    74     3     0    98     0    77     0   0.0 0.000    67 0.000 0.000 0.000 0.511 0.000   2.37   0.00  48.2  0.00  0.00  0.60  1.24  0.67  0.12  0.00  0.00     18      0    529
 2026 058    44    43   9.0     1  0.04    76     3     0    99     0    79     0   0.0 0.000    68 0.000 0.000 0.000 0.514 0.000   2.44   0.00  46.8  0.00  0.00  0.60  1.23  0.68  0.12  0.00  0.00     18      0    544
 2026 059    45    44   9.0     1  0.04    78     3     0    99     0    81     0   0.0 0.000    69 0.000 0.000 0.000 0.463 0.000   2.49   0.00  45.8  0.00  0.00  0.60  1.23  0.68  0.12  0.00  0.00     19      0    560
 2026 060    46    45   9.0     1  0.04    81     3     0    99     0    84     0   0.0 0.000    72 0.000 0.000 0.000 0.416 0.000   2.41   0.00  45.1  0.00  0.00  0.60  1.23  0.69  0.12  0.00  0.00     20      0    577
 2026 061    47    46   9.0     2  0.04    82    10     0    99     0    92     0   0.0 0.000    74 0.000 0.000 0.000 0.442 0.000   2.26   0.00  46.6  0.00  0.00  0.60  1.23  0.69  0.12  0.00  0.00     21      0    595
 2026 062    48    47  10.0     2  0.04    84    12     0   100     0    97     0   0.0 0.000    76 0.000 0.000 0.000 0.511 0.000   2.27   0.00  47.7  0.00  0.00  0.60  1.23  0.69  0.12  0.00  0.00     22      0    612
 2026 063    49    48  10.0     2  0.04    86    15     0   100     0   101     0   0.0 0.000    78 0.000 0.000 0.000 0.486 0.000   2.26   0.00  48.9  0.00  0.00  0.60  1.23  0.69  0.12  0.00  0.00     24      0    628
 2026 064    50    49  10.0     2  0.04    88    17     0   100     0   106     0   0.0 0.000    80 0.000 0.000 0.000 0.474 0.000   2.20   0.00  50.0  0.00  0.00  0.60  1.23  0.70  0.13  0.00  0.00     25      0    645
 2026 065    51    50  10.0     2  0.05    90    20     0   100     0   110     0   0.0 0.000    83 0.000 0.000 0.000 0.490 0.000   2.24   0.00  51.1  0.00  0.00  0.60  1.23  0.70  0.13  0.00  0.00     26      0    663
 2026 066    52    51  10.0     2  0.05    92    23     0   100     0   115     0   0.0 0.000    86 0.000 0.000 0.000 0.457 0.000   2.26   0.00  52.3  0.00  0.00  0.60  1.23  0.70  0.13  0.00  0.00     27      0    680
 2026 067    53    52  11.0     2  0.05    95    26     0   101     0   120     0   0.0 0.000    89 0.000 0.000 0.000 0.429 0.000   2.19   0.00  53.6  0.00  0.00  0.60  1.23  0.70  0.13  0.01  0.00     28      0    698
 2026 068    54    53  11.0     2  0.05    97    28     0   101     0   125     0   0.0 0.000    92 0.000 0.000 0.000 0.450 0.000   2.22   0.00  54.4  0.00  0.00  0.60  1.23  0.71  0.14  0.01  0.00     29      0    715
 2026 069    55    54  11.0     3  0.05    98    32     0   101     0   130     0   0.0 0.000    91 0.000 0.000 0.000 0.419 0.000   2.18   0.00  53.4  0.00  0.00  0.60  1.22  0.71  0.14  0.01  0.00     31      0    732
 2026 070    56    55  11.0     3  0.05    99    36     0   101     0   135     0   0.0 0.000    90 0.000 0.000 0.000 0.432 0.000   2.21   0.00  52.4  0.00  0.00  0.60  1.22  0.71  0.14  0.01  0.00     32      0    749
 2026 071    57    56  11.0     3  0.05   101    39     0   100     0   139     0   0.0 0.000    89 0.000 0.000 0.000 0.404 0.000   2.27   0.00  51.4  0.00  0.00  0.60  1.22  0.71  0.14  0.01  0.00     34      0    766
